_key,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,divisão,discount,ccu,,,
2990,2990,FlatOut 2,Bugbear Entertainment,Strategy First,,11883,520,0,"200,000 .. 500,000",502,0,263,0,199,999,"9,99",80,142,,,
3010,3010,Xpand Rally,Techland,Techland,,291,72,0,"20,000 .. 50,000",69,0,69,0,99,499,"4,99",80,2,,,
3050,3050,Xpand Rally Xtreme,Techland,Techland,,195,66,0,"20,000 .. 50,000",0,0,0,0,99,499,"4,99",80,2,,,
4230,4230,RACE - The WTCC Game,SimBin,SimBin,,136,51,0,"20,000 .. 50,000",9,0,9,0,3999,3999,"39,99",0,1,,,
4290,4290,RACE: Caterham Expansion,SimBin,SimBin,,6,6,0,"0 .. 20,000",0,0,0,0,499,499,"4,99",0,0,,,
6080,6080,Thrillville: Off the Rails,Frontier,LucasArts,,591,50,0,"20,000 .. 50,000",77,0,78,0,999,999,"9,99",0,20,,,
6220,6220,FlatOut,Bugbear Entertainment,Strategy First,,3530,286,0,"200,000 .. 500,000",249,0,172,0,112,749,"7,49",85,28,,,
6270,6270,Ducati World Championship,Artematica Entertainment,Strategy First,,85,105,0,"20,000 .. 50,000",0,0,0,0,499,499,"4,99",0,0,,,
7200,7200,Trackmania United Forever,Nadeo,Ubisoft,,1858,106,0,"200,000 .. 500,000",889,0,332,0,2999,2999,"29,99",0,176,,,
7840,7840,Death Track: Resurrection,Sky Fallen,Fulqrum Publishing,,73,53,0,"50,000 .. 100,000",0,0,0,0,299,299,"2,99",0,0,,,
8600,8600,RACE 07,SimBin,SimBin,,2074,371,0,"500,000 .. 1,000,000",1213,0,57,0,399,399,"3,99",0,20,,,
8790,8790,GTR 2 FIA GT Racing Game,SimBin Studios AB,SimBin,,236,19,0,"50,000 .. 100,000",84,0,84,0,799,799,"7,99",0,1,,,
9200,9200,RAGE,id Software,Bethesda Softworks,,12223,3661,0,"1,000,000 .. 2,000,000",781,0,400,0,999,999,"9,99",0,81,,,
11020,11020,TrackMania Nations Forever,Nadeo,Ubisoft,,17113,2104,0,"2,000,000 .. 5,000,000",388,22,70,29,0,0,0,0,607,,,
11230,11230,Gumboy Tournament,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",,331,139,0,"50,000 .. 100,000",4,0,6,0,149,299,"2,99",50,0,,,
