_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
1510,1510,Uplink,Introversion Software,Introversion Software,,2129,1944,185,0,"500,000 .. 1,000,000",130,0,99,0,999,"9,99",999,0,6,,
7760,7760,X-COM: UFO Defense,"MicroProse Software, Inc",2K,,3189,3019,170,0,"1,000,000 .. 2,000,000",589,0,52,0,499,"4,99",499,0,46,,
11340,11340,Larva Mortus,Meridian4,Meridian4,,730,554,176,0,"100,000 .. 200,000",157,0,99,0,299,"2,99",299,0,1,,
17140,17140,Hinterland,"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc.",,213,165,48,0,"50,000 .. 100,000",132,0,132,0,999,"9,99",999,0,1,,
33100,33100,Alien Shooter,Sigma Team Inc.,Sigma Team Inc.,,2558,2418,140,0,"200,000 .. 500,000",171,0,195,0,499,"4,99",499,0,44,,
34289,34289,Fatal Labyrinth,SEGA,SEGA,,10,9,1,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0,,
46410,46410,Avencast: Rise of the Mage,ClockStone Studios,Meridian4,,627,429,198,0,"50,000 .. 100,000",205,0,281,0,499,"4,99",499,0,2,,
55000,55000,Flotilla,Blendo Games,Blendo Games,,213,178,35,0,"100,000 .. 200,000",136,0,170,0,999,"9,99",999,0,0,,
71166,71166,ToeJam & Earl,SEGA,SEGA,,7,7,0,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0,,
92100,92100,DETOUR,"Geoff 'Zag' Keene, Richard Keene",Geoff 'Zag' Keene,,1791,1108,683,0,"200,000 .. 500,000",280,0,164,0,199,"1,99",199,0,8,,
98800,98800,Dungeons of Dredmor,"Gaslamp Games, Inc.","Gaslamp Games, Inc.",,4921,4626,295,0,"200,000 .. 500,000",666,0,1022,0,499,"4,99",499,0,37,,
104100,104100,Inside a Star-filled Sky,Jason Rohrer,Jason Rohrer,,87,58,29,0,"20,000 .. 50,000",0,0,0,0,399,"3,99",399,0,0,,
104900,104900,ORION: Prelude,DANKIE,DANKIE,,29010,21794,7216,0,"2,000,000 .. 5,000,000",232,0,112,0,99,"0,99",99,0,16,,
113200,113200,The Binding of Isaac,"Edmund McMillen, Florian Himsl",Edmund McMillen,,54095,51619,2476,0,"2,000,000 .. 5,000,000",1548,101,382,115,499,"4,99",499,0,267,,
200210,200210,Realm of the Mad God Exalt,"Wild Shadow Studios, Deca Games",Deca Games,,41674,34998,6676,0,"2,000,000 .. 5,000,000",2043,60,92,60,0,0,0,0,1676,,
204390,204390,Pineapple Smash Crew ,RichMakeGame,RichMakeGame,,118,96,22,0,"20,000 .. 50,000",68,0,68,0,999,"9,99",999,0,0,,
206250,206250,Cladun X2,System Prisma,"NIS America, Inc.",,145,98,47,0,"20,000 .. 50,000",46,0,46,0,999,"9,99",999,0,1,,
207170,207170,Legend of Grimrock,Almost Human Games,Almost Human Games,,5655,5322,333,0,"500,000 .. 1,000,000",454,0,129,0,1499,"14,99",1499,0,27,,
207430,207430,"Hack, Slash, Loot",David Williamson,David Williamson,,713,363,350,0,"50,000 .. 100,000",271,0,377,0,699,"6,99",699,0,2,,
210870,210870,Cloudberry Kingdom,Pwnee Studios,Ubisoft,,213,194,19,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,1,,
212680,212680,FTL: Faster Than Light,Subset Games,Subset Games,,64456,61803,2653,0,"2,000,000 .. 5,000,000",1305,39,469,61,999,"9,99",999,0,1563,,
212800,212800,Super Crate Box,Vlambeer,Vlambeer,,6581,5847,734,0,"500,000 .. 1,000,000",86,0,33,0,0,0,0,0,2,,
214730,214730,Space Rangers HD: A War Apart,"SNK Games, Elemental Games, Katauri Interactive",1C Entertainment,,5369,5094,275,0,"200,000 .. 500,000",959,0,760,0,1499,"14,99",1499,0,189,,
217290,217290,Din's Curse,Soldak Entertainment,Soldak Entertainment,,207,178,29,0,"20,000 .. 50,000",131,0,131,0,999,"9,99",999,0,1,,
219740,219740,Don't Starve,Klei Entertainment,Klei Entertainment,,96364,93289,3075,0,"5,000,000 .. 10,000,000",983,31,225,31,999,"9,99",999,0,2374,,
220460,220460,Cargo Commander,Serious Brew,Missing Link Games,,871,710,161,0,"100,000 .. 200,000",111,0,109,0,299,"2,99",299,0,0,,
221020,221020,Towns,"Xavi Canal, Ben Palgi",SMP,,2701,709,1992,0,"100,000 .. 200,000",821,0,1154,0,1499,"14,99",1499,0,5,,
221640,221640,Super Hexagon,Terry Cavanagh,Terry Cavanagh,,23165,22423,742,0,"1,000,000 .. 2,000,000",191,1,110,1,299,"2,99",299,0,25,,
222980,222980,Dead Pixels,CSR-Studios,CSR-Studios,,2375,2059,316,0,"200,000 .. 500,000",126,0,117,0,299,"2,99",299,0,3,,
224500,224500,Gnomoria,Robotronic Games,Robotronic Games,,3428,2655,773,0,"200,000 .. 500,000",1196,0,364,0,1499,"14,99",1499,0,27,,
224820,224820,Super House of Dead Ninjas,Megadev,Adult Swim Games,,1576,1510,66,0,"100,000 .. 200,000",109,0,160,0,699,"6,99",699,0,3,,
225280,225280,Full Mojo Rampage,Over the Top Games,Over The Top Games,,1220,1033,187,0,"200,000 .. 500,000",478,0,648,0,1299,"12,99",1299,0,3,,
226120,226120,Weird Worlds: Return to Infinite Space,Digital Eel,Digital Eel,,574,370,204,0,"200,000 .. 500,000",50,0,74,0,499,"4,99",499,0,0,,
