_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
11340,11340,Larva Mortus,Meridian4,Meridian4,,730,554,176,0,"100,000 .. 200,000",157,0,99,0,299,"2,99",299,0,1,,
33130,33130,Zombie Shooter,Sigma Team Inc.,Sigma Team Inc.,,864,721,143,0,"200,000 .. 500,000",62,0,82,0,499,"4,99",499,0,4,,
55000,55000,Flotilla,Blendo Games,Blendo Games,,213,178,35,0,"100,000 .. 200,000",136,0,170,0,999,"9,99",999,0,0,,
98800,98800,Dungeons of Dredmor,"Gaslamp Games, Inc.","Gaslamp Games, Inc.",,4921,4626,295,0,"200,000 .. 500,000",666,0,1022,0,499,"4,99",499,0,37,,
113200,113200,The Binding of Isaac,"Edmund McMillen, Florian Himsl",Edmund McMillen,,54095,51619,2476,0,"2,000,000 .. 5,000,000",1548,101,382,115,499,"4,99",499,0,267,,
200210,200210,Realm of the Mad God Exalt,"Wild Shadow Studios, Deca Games",Deca Games,,41674,34998,6676,0,"2,000,000 .. 5,000,000",2043,60,92,60,0,0,0,0,1676,,
207430,207430,"Hack, Slash, Loot",David Williamson,David Williamson,,713,363,350,0,"50,000 .. 100,000",271,0,377,0,699,"6,99",699,0,2,,
209330,209330,A Valley Without Wind,"Arcen Games, LLC","Arcen Games, LLC",,483,284,199,0,"50,000 .. 100,000",218,0,225,0,1499,"14,99",1499,0,2,,
210870,210870,Cloudberry Kingdom,Pwnee Studios,Ubisoft,,213,194,19,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,1,,
212680,212680,FTL: Faster Than Light,Subset Games,Subset Games,,64456,61803,2653,0,"2,000,000 .. 5,000,000",1305,39,469,61,999,"9,99",999,0,1563,,
220460,220460,Cargo Commander,Serious Brew,Missing Link Games,,871,710,161,0,"100,000 .. 200,000",111,0,109,0,299,"2,99",299,0,0,,
224820,224820,Super House of Dead Ninjas,Megadev,Adult Swim Games,,1576,1510,66,0,"100,000 .. 200,000",109,0,160,0,699,"6,99",699,0,3,,
225280,225280,Full Mojo Rampage,Over the Top Games,Over The Top Games,,1220,1033,187,0,"200,000 .. 500,000",478,0,648,0,1299,"12,99",1299,0,3,,
226620,226620,Desktop Dungeons,QCF Design,QCF Design,,1370,1238,132,0,"100,000 .. 200,000",764,0,950,0,1499,"14,99",1499,0,11,,
227580,227580,"10,000,000",EightyEightGames,EightyEightGames,,2131,1909,222,0,"100,000 .. 200,000",291,0,443,0,499,"4,99",499,0,7,,
228320,228320,A Valley Without Wind 2,"Arcen Games, LLC","Arcen Games, LLC",,213,99,114,0,"100,000 .. 200,000",84,0,88,0,1499,"14,99",1499,0,0,,
233700,233700,Sword of the Stars: The Pit,Kerberos Productions,Kerberos Productions,,1439,1235,204,0,"100,000 .. 200,000",302,0,389,0,999,"9,99",999,0,17,,
234390,234390,Teleglitch: Die More Edition,Test3 Projects,Paradox Interactive,,2754,2343,411,0,"500,000 .. 1,000,000",142,0,85,0,1299,"12,99",1299,0,6,,
238280,238280,Legend of Dungeon,Robot Loves Kitty,SNK CORPORATION,,1579,1162,417,0,"200,000 .. 500,000",213,0,248,0,999,"9,99",999,0,2,,
238910,238910,Bionic Dues,"Arcen Games, LLC","Arcen Games, LLC",,962,720,242,0,"200,000 .. 500,000",241,0,211,0,999,"9,99",999,0,1,,
239350,239350,Spelunky,Mossmouth,Mossmouth,,14828,13684,1144,0,"1,000,000 .. 2,000,000",664,0,208,0,1499,"14,99",1499,0,124,,
241600,241600,Rogue Legacy,Cellar Door Games,Cellar Door Games,,17620,16424,1196,0,"1,000,000 .. 2,000,000",741,0,447,0,1499,"14,99",1499,0,94,,
241760,241760,Kill to Collect,Pieces Interactive,"HandyGames, Pieces Interactive",,261,181,80,0,"20,000 .. 50,000",159,0,159,0,999,"9,99",999,0,0,,
242680,242680,Nuclear Throne,Vlambeer,Vlambeer,,15769,15187,582,0,"500,000 .. 1,000,000",1499,0,423,0,1199,"11,99",1199,0,163,,
