_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu
4100,4100,Poker Superstars II,Funkitron,Funkitron,,13,6,7,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
8330,8330,Telltale Texas Hold ‘Em,Telltale,Telltale,,209,110,99,0,"100,000 .. 200,000",187,0,187,0,99,"0,99",99,0,0
22500,22500,Spectromancer,"Apus Software, Three Donkeys LLC",Three Donkeys LLC,,240,205,35,0,"50,000 .. 100,000",8,0,8,0,699,"6,99",699,0,3
31280,31280,Poker Night at the Inventory,Telltale Games,Strategy First,,8826,7855,971,0,"1,000,000 .. 2,000,000",207,1,211,1,0,0,0,0,15
38600,38600,Faerie Solitaire,Subsoap,Subsoap,,2498,2273,225,0,"200,000 .. 500,000",299,0,393,0,1499,"14,99",1499,0,4
39150,39150,FINAL FANTASY VIII,Square Enix,Square Enix,,8057,7145,912,0,"500,000 .. 1,000,000",402,0,206,0,1199,"11,99",1199,0,124
49470,49470,Magic: The Gathering - Duels of the Planeswalkers 2012,Stainless Games Ltd,Wizards of the Coast LLC,,920,805,115,0,"100,000 .. 200,000",917,0,607,0,0,0,0,0,17
70200,70200,Governor of Poker 2,I Sioux Game Productions B.V.,Youdagames,,145,106,39,0,"20,000 .. 50,000",180,0,180,0,799,"7,99",799,0,15
70210,70210,Governor of Poker 2 - Premium Edition,I Sioux Game Productions B.V.,Youdagames,,243,201,42,0,"20,000 .. 50,000",135,0,135,0,799,"7,99",799,0,14
80200,80200,Fate of the World,Red Redemption,Soothsayer Games,,409,321,88,0,"50,000 .. 100,000",39,0,41,0,999,"9,99",999,0,0
90500,90500,Guardians of Graxia,,React Games,,170,67,103,0,"20,000 .. 50,000",60,0,60,0,0,0,0,0,0
97330,97330,Magic: The Gathering - Duels of the Planeswalkers 2013,Stainless Games,Wizards of the Coast LLC,,1251,1093,158,0,"200,000 .. 500,000",1119,0,413,0,0,0,0,0,18
102200,102200,Runespell: Overture,Mystic Box,Mystic Box,,365,272,93,0,"50,000 .. 100,000",215,0,215,0,999,"9,99",999,0,0
108200,108200,Ticket to Ride,Days of Wonder,"Days of Wonder, Asmodee Digital",,4321,3905,416,0,"500,000 .. 1,000,000",261,49,205,49,999,"9,99",999,0,459
213850,213850,Magic 2014 — Duels of the Planeswalkers,Stainless Games,Wizards of the Coast LLC,,4542,3750,792,0,"500,000 .. 1,000,000",1118,0,539,0,0,0,0,0,32
216090,216090,Go Home Dinosaurs!,Fire Hose Games,Fire Hose Games,,465,420,45,0,"20,000 .. 50,000",156,0,156,0,999,"9,99",999,0,5
226960,226960,Ironclad Tactics,Zachtronics,Zachtronics,,602,416,186,0,"50,000 .. 100,000",212,0,212,0,1499,"14,99",1499,0,2
232450,232450,SolForge,Stone Blade Entertainment,Stone Blade Entertainment,,1189,776,413,0,"200,000 .. 500,000",304,0,196,0,0,0,0,0,0
234710,234710,Poker Night 2,Telltale Games,Telltale Games,,6692,5817,875,0,"500,000 .. 1,000,000",266,0,143,0,0,0,0,0,36
235360,235360,Prime World: Defenders,Nival,Nival,,990,753,237,0,"100,000 .. 200,000",177,0,183,0,999,"9,99",999,0,7
241300,241300,Card City Nights 2,Ludosity,Ludosity,,159,136,23,0,"0 .. 20,000",239,0,239,0,799,"7,99",799,0,1
