_key,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
31100,31100,Wallace & Gromit’s Grand Adventures,Telltale,Telltale,,126,20,0,"0 .. 20,000",33,0,33,0,1499,"14,99",1499,0,1,,
31800,31800,Nancy Drew: Danger by Design,HeR Interactive,HeR Interactive,,79,21,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,7,,
31810,31810,Nancy Drew: Last Train to Blue Moon Canyon,HeR Interactive,HeR Interactive,,217,9,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,3,,
31820,31820,Nancy Drew: The Haunted Carousel,HeR Interactive,HeR Interactive,,121,9,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,2,,
31830,31830,Nancy Drew: Curse of Blackmoor Manor,HeR Interactive,HeR Interactive,,222,30,0,"50,000 .. 100,000",0,0,0,0,699,"6,99",699,0,4,,
31840,31840,Nancy Drew: Danger on Deception Island,HeR Interactive,HeR Interactive,,145,9,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,7,,
31850,31850,Nancy Drew: Ghost Dogs of Moon Lake,HeR Interactive,HeR Interactive,,142,13,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,0,,
31860,31860,Nancy Drew: Legend of the Crystal Skull,HeR Interactive,HeR Interactive,,118,12,0,"20,000 .. 50,000",500,0,649,0,699,"6,99",699,0,3,,
31880,31880,Nancy Drew: Secret of the Old Clock,HeR Interactive,HeR Interactive,,136,14,0,"20,000 .. 50,000",303,0,303,0,699,"6,99",699,0,7,,
31890,31890,Nancy Drew: Secret of the Scarlet Hand,HeR Interactive,HeR Interactive,,107,13,0,"20,000 .. 50,000",524,0,524,0,699,"6,99",699,0,11,,
31900,31900,Nancy Drew: The Creature of Kapu Cave,HeR Interactive,HeR Interactive,,67,29,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,0,,
31910,31910,Nancy Drew: The Haunting of Castle Malloy,HeR Interactive,HeR Interactive,,97,22,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,9,,
31920,31920,Nancy Drew: The Phantom of Venice,HeR Interactive,HeR Interactive,,101,15,0,"20,000 .. 50,000",209,0,308,0,699,"6,99",699,0,14,,
31930,31930,Nancy Drew: The White Wolf of Icicle Creek,HeR Interactive,HeR Interactive,,105,38,0,"20,000 .. 50,000",791,0,791,0,699,"6,99",699,0,9,,
31980,31980,Nancy Drew: Ransom of the Seven Ships,HeR Interactive,HeR Interactive,,40,18,0,"20,000 .. 50,000",1867,0,1867,0,0,0,0,0,1,,
34900,34900,Bad Rats: the Rats' Revenge,Invent4 Entertainment,Strategy First,,11529,3099,0,"200,000 .. 500,000",133,0,117,0,51,"0,99",99,48,31,,
42210,42210,Nancy Drew: Secrets Can Kill REMASTERED,HeR Interactive,HeR Interactive,,157,60,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,7,,
42220,42220,Nancy Drew: The Captive Curse,HeR Interactive,HeR Interactive,,128,15,0,"20,000 .. 50,000",571,0,571,0,699,"6,99",699,0,6,,
42230,42230,Nancy Drew: Trail of the Twister,HeR Interactive,HeR Interactive,,70,34,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,6,,
43600,43600,Nancy Drew: Warnings at Waverly Academy,HeR Interactive,HeR Interactive,,174,21,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,1,,
70400,70400,Recettear: An Item Shop's Tale,EasyGameStation,Carpe Fulgur LLC,,6282,246,0,"500,000 .. 1,000,000",878,0,574,0,1999,"19,99",1999,0,31,,
105000,105000,A New Beginning - Final Cut,Daedalic Entertainment,Daedalic Entertainment,,1307,425,0,"200,000 .. 500,000",598,1219,833,1219,99,"9,99",999,90,7,,
200080,200080,Nancy Drew: Shadow at the Water's Edge,HeR Interactive,HeR Interactive,,205,55,0,"50,000 .. 100,000",0,0,0,0,699,"6,99",699,0,14,,
202670,202670,Nancy Drew: Alibi in Ashes,HeR Interactive,HeR Interactive,,159,18,0,"20,000 .. 50,000",331,0,331,0,699,"6,99",699,0,4,,
207080,207080,Indie Game: The Movie,BlinkWorks Media,BlinkWorks Media,,1643,134,0,"200,000 .. 500,000",193,0,206,0,999,"9,99",999,0,0,,
207610,207610,The Walking Dead,Telltale Games,Skybound Games,,56145,1733,0,"2,000,000 .. 5,000,000",568,253,357,435,1499,"14,99",1499,0,167,,
209370,209370,Analogue: A Hate Story,Love Conquers All Games,Love Conquers All Games,,2038,147,0,"100,000 .. 200,000",72,0,96,0,499,"9,99",999,50,2,,
210230,210230,Nancy Drew: Tomb of the Lost Queen,HeR Interactive,HeR Interactive,,81,9,0,"0 .. 20,000",327,0,327,0,1999,"19,99",1999,0,4,,
210970,210970,The Witness,"Thekla, Inc.","Thekla, Inc.",,12048,2067,0,"1,000,000 .. 2,000,000",462,12,266,12,3999,"39,99",3999,0,164,,
211340,211340,Magical Diary: Horse Hall,Hanako Games,Hanako Games,,871,100,0,"0 .. 20,000",567,0,1081,0,1499,"14,99",1499,0,1,,
214340,214340,Deponia,Daedalic Entertainment,Daedalic Entertainment,,9343,1266,0,"1,000,000 .. 2,000,000",354,1292,243,1292,99,"9,99",999,90,26,,
214610,214610,Cherry Tree High Comedy Club,773,Nyu Media,,488,87,0,"50,000 .. 100,000",117,0,126,0,0,0,0,0,5,,
217690,217690,Anna - Extended Edition,Dreampainters,Kalypso Media Digital,,939,570,0,"100,000 .. 200,000",232,0,278,0,999,"9,99",999,0,1,,
220420,220420,Nancy Drew: The Deadly Device,"HeR Interactive, Inc.",HeR Interactive,,39,3,0,"0 .. 20,000",418,0,418,0,1999,"19,99",1999,0,3,,
226740,226740,Monster Loves You!,"Radial Games Corp, Dejobaan Games, LLC",Radial Games Corp,,921,257,0,"200,000 .. 500,000",167,0,227,0,999,"9,99",999,0,3,,
226820,226820,Nancy Drew: Ghost of Thornton Hall,"HeR Interactive, Inc.",HeR Interactive,,169,14,0,"20,000 .. 50,000",465,0,465,0,1999,"19,99",1999,0,4,,
231200,231200,Kentucky Route Zero: PC Edition,Cardboard Computer,Cardboard Computer,,2617,614,0,"200,000 .. 500,000",135,0,194,0,2499,"24,99",2499,0,9,,
234270,234270,Ken Follett's The Pillars of the Earth,Daedalic Entertainment,Daedalic Entertainment,,4621,339,0,"200,000 .. 500,000",179,23,139,23,199,"19,99",1999,90,21,,
237890,237890,Agarest: Generations of War,Idea Factory,Ghostlight LTD,,1295,513,0,"100,000 .. 200,000",229,0,260,0,1499,"14,99",1499,0,17,,
239700,239700,Hate Plus,Love Conquers All Games,Love Conquers All Games,,481,90,0,"50,000 .. 100,000",108,0,166,0,499,"9,99",999,50,0,,
248800,248800,Dysfunctional Systems: Learning to Manage Chaos,Dischan Media,Dischan Media,,603,190,0,"50,000 .. 100,000",219,0,223,0,499,"4,99",499,0,0,,
251270,251270,Corpse Party,GrisGris,"XSEED Games, Marvelous USA, Inc.",,992,108,0,"20,000 .. 50,000",668,0,1272,0,1499,"14,99",1499,0,6,,
251870,251870,Go! Go! Nippon! ~My First Trip to Japan~,OVERDRIVE,MangaGamer,,2686,413,0,"200,000 .. 500,000",179,0,83,0,999,"9,99",999,0,3,,
251990,251990,Long Live The Queen,Hanako Games,Hanako Games,,6383,330,0,"200,000 .. 500,000",271,0,202,0,999,"9,99",999,0,18,,
252890,252890,Dracula: Love Kills,Waterlily Games,Frogwares,,181,54,0,"50,000 .. 100,000",33,0,33,0,199,"9,99",999,80,5,,
257970,257970,Loren The Amazon Princess,Winter Wolves,Winter Wolves,,454,100,0,"50,000 .. 100,000",2375,0,2375,0,1999,"19,99",1999,0,4,,
258090,258090,99 Spirits,TORaIKI,Fruitbat Factory,,230,159,0,"200,000 .. 500,000",0,0,0,0,999,"9,99",999,0,1,,
259720,259720,Fading Hearts,Sakura River Interactive,Sakura River Interactive,,127,68,0,"20,000 .. 50,000",181,0,181,0,1499,"14,99",1499,0,0,,
260130,260130,Agarest: Generations of War Zero,Idea Factory,Ghostlight LTD,,266,87,0,"50,000 .. 100,000",586,0,1127,0,1999,"19,99",1999,0,5,,
261680,261680,Journal,Locked Door Puzzle,Lupus Studios Limited,,267,75,0,"20,000 .. 50,000",251,0,251,0,999,"9,99",999,0,0,,
