_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
271590,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,1375163,1165487,209676,0,"20,000,000 .. 50,000,000",12041,666,5905,175,2998,2998,0,112958,,,
227300,227300,Euro Truck Simulator 2,SCS Software,SCS Software,560459,545408,15051,0,"10,000,000 .. 20,000,000",6570,347,1824,111,1999,1999,0,31736,,,
252950,252950,Rocket League,Psyonix LLC,Psyonix LLC,554966,492663,62303,0,"10,000,000 .. 20,000,000",17457,507,2299,223,0,0,0,32822,,,
431960,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,528289,517992,10297,0,"20,000,000 .. 50,000,000",3137,153,740,14,399,399,0,80234,,,
1293830,1293830,Forza Horizon 4,Playground Games,Xbox Game Studios,136622,121590,15032,0,"2,000,000 .. 5,000,000",2164,283,1053,146,5999,5999,0,10352,,,
284160,284160,BeamNG.drive,BeamNG,BeamNG,130248,126077,4171,0,"2,000,000 .. 5,000,000",4930,241,777,107,2499,2499,0,9627,,,
387990,387990,Scrap Mechanic,Axolot Games,Axolot Games,89060,82642,6418,0,"5,000,000 .. 10,000,000",2868,288,690,434,1999,1999,0,2989,,,
1551360,1551360,Forza Horizon 5,Playground Games,Xbox Game Studios,80045,69834,10211,0,"2,000,000 .. 5,000,000",2869,266,1453,165,5999,5999,0,8642,,,
244210,244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,70834,65051,5783,0,"2,000,000 .. 5,000,000",2367,145,325,57,1999,1999,0,8238,,,
234140,234140,Mad Max,Avalanche Studios,"Warner Bros. Games, Warner Bros. Interactive Entertainment",63420,58094,5326,0,"2,000,000 .. 5,000,000",1259,0,695,0,1999,1999,0,925,,,
646910,646910,The Crew 2,Ivory Tower,Ubisoft,60123,48434,11689,0,"2,000,000 .. 5,000,000",2590,110,1064,147,4999,4999,0,5630,,,
386180,386180,Crossout,Targem Games,Gaijin Distribution KFT,49940,38584,11356,0,"1,000,000 .. 2,000,000",1352,114,231,114,0,0,0,3262,,,
1222680,1222680,Need for Speed Heat,Ghost Games,Electronic Arts,49305,41105,8200,0,"1,000,000 .. 2,000,000",1364,329,951,541,6999,6999,0,1764,,,
307690,307690,Sleeping Dogs: Definitive Edition,"United Front Games, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",47960,44264,3696,0,"1,000,000 .. 2,000,000",764,25,392,25,1999,1999,0,756,,,
635260,635260,CarX Drift Racing Online,"CarX Technologies, LLC","CarX Technologies, LLC",45946,43775,2171,0,"1,000,000 .. 2,000,000",1285,232,497,293,1499,1499,0,2955,,,
645630,645630,Car Mechanic Simulator 2018,Red Dot Games,PlayWay S.A.,43410,39328,4082,0,"1,000,000 .. 2,000,000",1830,0,641,0,1999,1999,0,632,,,
516750,516750,My Summer Car,Amistech Games,Amistech Games,43168,40474,2694,0,"1,000,000 .. 2,000,000",3356,123,930,216,1499,1499,0,1046,,,
1030840,1030840,Mafia: Definitive Edition,Hangar 13,2K,42860,37202,5658,0,"1,000,000 .. 2,000,000",911,125,625,166,1399,3999,65,2010,,,
1080110,1080110,F1 2020,Codemasters,"Codemasters, Electronic Arts",38822,36268,2554,0,"1,000,000 .. 2,000,000",3649,463,2131,554,5999,5999,0,1603,,,
310560,310560,DiRT Rally,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",37834,33192,4642,0,"2,000,000 .. 5,000,000",550,59,140,65,1499,1499,0,244,,,
113400,113400,APB Reloaded,Reloaded Productions,Little Orbit,35799,22765,13034,0,"5,000,000 .. 10,000,000",3498,0,196,0,0,0,0,257,,,
1134570,1134570,F1 2021,Codemasters,Electronic Arts,33222,28337,4885,0,"1,000,000 .. 2,000,000",4135,288,2500,368,5999,5999,0,5216,,,
207140,207140,SpeedRunners,DoubleDutch Games,tinyBuild,33064,31036,2028,0,"2,000,000 .. 5,000,000",751,103,241,107,1499,1499,0,351,,,
